type,rating,listed_in,release_year,duration_mins,cluster
0,11,353,2020,100.0,2
0,9,185,2021,32.0,2
0,8,344,2021,102.0,2
1,11,91,2021,4.0,0
0,8,361,2004,105.0,2
0,11,319,2018,107.0,2
0,9,283,2020,64.0,2
0,11,319,2021,99.0,2
0,9,332,2021,102.0,2
1,9,487,2021,1.0,1
1,9,393,2021,1.0,1
0,9,200,2020,126.0,2
0,11,326,2020,119.0,2
1,9,291,2021,1.0,2
0,12,363,2019,86.0,2
1,9,412,2021,1.0,1
0,11,332,2021,122.0,2
0,8,0,2017,95.0,0
0,9,39,2021,104.0,0
0,11,326,1999,118.0,2
0,11,274,2020,85.0,2
1,11,486,2021,1.0,1
0,9,319,2021,98.0,2
0,11,309,2021,99.0,2
1,14,433,2017,2.0,1
0,9,185,2021,35.0,2
0,12,329,2020,107.0,2
0,11,274,2017,97.0,2
0,11,332,2020,112.0,2
0,8,0,2013,118.0,0
0,11,275,2019,109.0,2
1,12,446,2021,1.0,1
1,11,234,2021,1.0,2
1,12,498,2020,2.0,1
1,11,262,2018,3.0,2
0,11,325,2018,109.0,2
